timestamp,event_type,event_name,state,eeg_value
1764895183.1182492,eeg_state,EEG_NEUTRAL,IDLE,0.504
1764895185.7788067,gesture,GESTURE_OPEN_HAND,IDLE,0.464
1764895185.9365149,gesture,GESTURE_THUMBS_UP,RUNNING,0.451
1764895185.9365149,state_change,RUNNING,RUNNING,0.451
1764895194.5788374,voice,CMD_RESET,RUNNING,0.569
1764895208.437276,gesture,GESTURE_OPEN_HAND,IDLE,0.451
1764895208.437276,state_change,IDLE,IDLE,0.451
1764895208.7501366,gesture,GESTURE_OPEN_HAND,IDLE,0.429
1764895209.051738,gesture,GESTURE_THUMBS_UP,RUNNING,0.450
1764895209.051738,state_change,RUNNING,RUNNING,0.450
1764895245.8167536,gesture,GESTURE_OPEN_HAND,IDLE,0.401
1764895245.8167536,state_change,IDLE,IDLE,0.401
1764895246.1228125,gesture,GESTURE_OPEN_HAND,IDLE,0.402
1764895246.4709408,gesture,GESTURE_OPEN_HAND,IDLE,0.380
1764895246.7928348,gesture,GESTURE_OPEN_HAND,IDLE,0.360
1764895247.1069038,gesture,GESTURE_OPEN_HAND,IDLE,0.355
1764895247.1354747,gesture,GESTURE_THUMBS_UP,RUNNING,0.350
1764895247.1354747,state_change,RUNNING,RUNNING,0.350
1764895247.3069491,gesture,GESTURE_FIST,IDLE,0.359
1764895247.3069491,state_change,IDLE,IDLE,0.359
1764895247.478342,gesture,GESTURE_THUMBS_UP,RUNNING,0.342
1764895247.478342,state_change,RUNNING,RUNNING,0.342
1764895247.5087616,gesture,GESTURE_FIST,IDLE,0.352
1764895247.5087616,state_change,IDLE,IDLE,0.352
1764895247.535796,gesture,GESTURE_THUMBS_UP,RUNNING,0.358
1764895247.535796,state_change,RUNNING,RUNNING,0.358
1764895247.615117,gesture,GESTURE_FIST,IDLE,0.371
1764895247.615117,state_change,IDLE,IDLE,0.371
1764895247.651691,gesture,GESTURE_THUMBS_UP,RUNNING,0.362
1764895247.651691,state_change,RUNNING,RUNNING,0.362
1764895247.683108,gesture,GESTURE_FIST,IDLE,0.365
1764895247.683108,state_change,IDLE,IDLE,0.365
1764895247.9452438,gesture,GESTURE_THUMBS_UP,RUNNING,0.375
1764895247.9452438,state_change,RUNNING,RUNNING,0.375
1764895248.027935,gesture,GESTURE_FIST,IDLE,0.382
1764895248.027935,state_change,IDLE,IDLE,0.382
1764895248.1907072,gesture,GESTURE_THUMBS_UP,RUNNING,0.404
1764895248.1907072,state_change,RUNNING,RUNNING,0.404
1764895248.494147,gesture,GESTURE_THUMBS_UP,RUNNING,0.417
1764895248.8077314,gesture,GESTURE_THUMBS_UP,RUNNING,0.426
1764895249.1448054,gesture,GESTURE_THUMBS_UP,RUNNING,0.403
1764895249.4665294,gesture,GESTURE_THUMBS_UP,RUNNING,0.354
1764895249.784432,gesture,GESTURE_THUMBS_UP,RUNNING,0.401
1764895250.102989,gesture,GESTURE_THUMBS_UP,RUNNING,0.425
1764895250.4309638,gesture,GESTURE_THUMBS_UP,RUNNING,0.445
1764895250.6778343,gesture,GESTURE_FIST,IDLE,0.422
1764895250.6778343,state_change,IDLE,IDLE,0.422
1764895250.7109387,gesture,GESTURE_THUMBS_UP,RUNNING,0.427
1764895250.7109387,state_change,RUNNING,RUNNING,0.427
1764895250.848814,gesture,GESTURE_FIST,IDLE,0.417
1764895250.848814,state_change,IDLE,IDLE,0.417
1764895250.8829546,gesture,GESTURE_THUMBS_UP,RUNNING,0.407
1764895250.8829546,state_change,RUNNING,RUNNING,0.407
1764895250.9384549,gesture,GESTURE_FIST,IDLE,0.407
1764895250.9384549,state_change,IDLE,IDLE,0.407
1764895251.2431552,gesture,GESTURE_FIST,IDLE,0.415
1764895251.5510693,gesture,GESTURE_FIST,IDLE,0.378
1764895251.8633833,gesture,GESTURE_THUMBS_UP,RUNNING,0.379
1764895251.8633833,state_change,RUNNING,RUNNING,0.379
1764895252.1718552,gesture,GESTURE_THUMBS_UP,RUNNING,0.390
1764895252.4772651,gesture,GESTURE_THUMBS_UP,RUNNING,0.371
1764895252.6509278,gesture,GESTURE_OPEN_HAND,IDLE,0.366
1764895252.6509278,state_change,IDLE,IDLE,0.366
1764895252.976495,gesture,GESTURE_OPEN_HAND,IDLE,0.381
1764895253.3052769,gesture,GESTURE_OPEN_HAND,IDLE,0.395
1764895253.6110616,gesture,GESTURE_OPEN_HAND,IDLE,0.379
1764895253.9229274,gesture,GESTURE_OPEN_HAND,IDLE,0.412
1764895254.232846,gesture,GESTURE_OPEN_HAND,IDLE,0.395
1764895254.5383828,gesture,GESTURE_OPEN_HAND,IDLE,0.416
1764895254.8432488,gesture,GESTURE_OPEN_HAND,IDLE,0.446
1764895255.1486793,gesture,GESTURE_OPEN_HAND,IDLE,0.422
1764895255.455587,gesture,GESTURE_OPEN_HAND,IDLE,0.398
1764895255.7664611,gesture,GESTURE_OPEN_HAND,RUNNING,0.380
1764895255.7664611,voice,CMD_START,RUNNING,0.380
1764895255.7664611,state_change,RUNNING,RUNNING,0.380
1764895255.8002956,state_change,PAUSED,PAUSED,0.381
1764895255.8272412,state_change,RUNNING,RUNNING,0.378
1764895255.8496568,state_change,PAUSED,PAUSED,0.378
1764895255.900202,state_change,RUNNING,RUNNING,0.381
1764895255.9426537,state_change,PAUSED,PAUSED,0.383
1764895255.9677029,state_change,RUNNING,RUNNING,0.390
1764895255.9970973,state_change,PAUSED,PAUSED,0.394
1764895256.039153,state_change,RUNNING,RUNNING,0.393
1764895256.0622892,state_change,PAUSED,PAUSED,0.398
1764895256.0892794,gesture,GESTURE_OPEN_HAND,RUNNING,0.406
1764895256.0892794,state_change,RUNNING,RUNNING,0.406
1764895256.1170194,state_change,PAUSED,PAUSED,0.412
1764895256.1456013,state_change,RUNNING,RUNNING,0.421
1764895256.1818054,state_change,PAUSED,PAUSED,0.429
